"","X","title.info","date","briefs","story.link"
"1577",1577,"Dmitry Medvedev will take part in EU-Russia summit","2011-12-06",NA,"http://eng.kremlin.ru/news/3176"
"1578",1578,"Telephone conversations with President of Azerbaijan Ilham Aliyev and President of Ukraine Viktor Yanukovych","2011-12-05","Dmitry Medvedev had telephone conversations with President of Azerbaijan Ilham Aliyev and President of Ukraine Viktor Yanukovych.","http://eng.kremlin.ru/news/3178"
"1579",1579,"Law ratifying Convention on Privileges of the Secretariat of Conference on Interaction and Confidence Building Measures in Asia (CICA)","2011-12-03","Dmitry Medvedev signed Federal Law On Ratification of the Convention on Privileges of the Secretariat, its Personnel and Representatives of the Conference on Interaction and Confidence Building Measures in Asia.","http://eng.kremlin.ru/news/3170"
"1580",1580,"Ratification of agreement on security cooperation in the Caspian Sea","2011-12-03","Dmitry Medvedev signed Federal Law On Ratification of the Agreement on Security Cooperation in the Caspian Sea.","http://eng.kremlin.ru/news/3166"
"1581",1581,"Law on the ratification of the Treaty on the Eurasian Economic Commission","2011-12-01","Dmitry Medvedev signed Federal Law On Ratification of the Treaty on the Eurasian Economic Commission.","http://eng.kremlin.ru/news/3152"
"1582",1582,"Dmitry Medvedev congratulated Almazbek Atambayev on assuming the office of the President of Kyrgyzstan","2011-12-01",NA,"http://eng.kremlin.ru/news/3148"
"1583",1583,"Message to Roza Otunbayeva","2011-12-01","Dmitry Medvedev sent a message to outgoing President of Kyrgyzstan Roza Otunbayeva.","http://eng.kremlin.ru/news/3153"
"1584",1584,"Dmitry Medvedev will make an official visit to the Czech Republic","2011-11-30",NA,"http://eng.kremlin.ru/news/3144"
"1585",1585,"Meeting of Supreme State Council of the Union State of Russia and Belarus","2011-11-25","At the meeting Mr Medvedev and President of Belarus Alexander Lukashenko examined various aspects of foreign policy, military technical, and trade and economic cooperation between Russia and Belarus, including cooperation in the nuclear energy sector. They also discussed the Union State’s budget for 2012 and the 2012-2015 Social Development Concept.","http://eng.kremlin.ru/news/3125"
"1586",1586,"Greetings to Third All-Russian Azerbaijani Congress","2011-11-25","Dmitry Medvedev sent a message of greetings to the Third All-Russian Azerbaijani Congress.","http://eng.kremlin.ru/news/3127"
"1587",1587,"Statement in connection with the situation concerning the NATO countries’ missile defence system in Europe","2011-11-23",NA,"http://eng.kremlin.ru/news/3115"
"1588",1588,"Draft law on Russia’s accession to the Convention on Combating Bribery of Foreign Public Officials in International Business Transactions has been submitted to the State Duma","2011-11-23","Dmitry Medvedev submitted to the State Duma for ratification draft federal law On Accession of the Russian Federation to the Convention on Combating Bribery of Foreign Public Officials in International Business Transactions.","http://eng.kremlin.ru/news/3119"
"1589",1589,"Meeting with South Ossetian presidential candidate Anatoly Bibilov","2011-11-21","The President said that Russia will continue to guarantee South Ossetia’s security under the agreements the two countries have concluded.","http://eng.kremlin.ru/news/3103"
"1590",1590,"Regular meeting of Russia-Belarus Union Supreme Council","2011-11-21","A regular meeting of the Union State’s Supreme State Council will take place on November 25, 2011 in Moscow.","http://eng.kremlin.ru/news/3099"
"1591",1591,"Russian-Finnish agreement on the lease of Saimaa Canal ratified","2011-11-20","Dmitry Medvedev signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of Finland on the Lease by Finland of the Russian Part of the Saimaa Canal and the Surrounding Area and the Order of Navigation through the Saimaa Canal.","http://eng.kremlin.ru/news/3110"
"1592",1592,"Russian-South Ossetian customs cooperation agreement ratified","2011-11-20","Dmitry Medvedev signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of South Ossetia on Cooperation and Mutual Assistance in Customs.","http://eng.kremlin.ru/news/3107"
"1593",1593,"Russian-Abkhazian customs cooperation agreement ratified","2011-11-20","Dmitry Medvedev signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of Abkhazia on Cooperation and Mutual Assistance in Customs.","http://eng.kremlin.ru/news/3108"
"1594",1594,"Meeting of the presidents of Russia, Belarus, and Kazakhstan","2011-11-18","Dmitry Medvedev, Nursultan Nazarbayev, and Alexander Lukashenko discussed integration in the Eurasian region and signed a number of joint agreements.","http://eng.kremlin.ru/news/3090"
"1595",1595,"Treaty on Eurasian Economic Commission has been submitted to the State Duma for ratification","2011-11-18","Dmitry Medvedev submitted to the State Duma for ratification the Treaty on Eurasian Economic Commission, which was signed on November 18, 2011 in Moscow.","http://eng.kremlin.ru/acts/3091"
"1596",1596,"Meeting with President of Kazakhstan Nursultan Nazarbayev","2011-11-18","Dmitry Medvedev met with President of Kazakhstan Nursultan Nazarbayev to discuss bilateral cooperation and cooperation within the Common Economic Space.","http://eng.kremlin.ru/news/3089"
"1597",1597,"Congratulations to Mario Monti on his appointment as Prime Minister of Italy","2011-11-17","Dmitry Medvedev sent a message to Mario Monti congratulating him on being appointed Prime Minister of the Italian Republic.","http://eng.kremlin.ru/news/3087"
"1598",1598,"Greetings to participants of the First Gas Exporting Countries Forum (GECF)","2011-11-15","Dmitry Medvedev sent a message of greetings to the participants of the First Gas Exporting Countries Forum (GECF).","http://eng.kremlin.ru/news/3082"
"1599",1599,"News conference with Russian media following APEC summit","2011-11-14",NA,"http://eng.kremlin.ru/transcripts/3078"
"1600",1600,"APEC forum summit","2011-11-14","Dmitry Medvedev took part in Asia-Pacific Economic Cooperation Leaders' Summit","http://eng.kremlin.ru/news/3076"
"1601",1601,"Telephone conversation with Silvio Berlusconi","2011-11-13","Dmitry Medvedev had a telephone conversation with Silvio Berlusconi.","http://eng.kremlin.ru/news/3075"
"1602",1602,"Dmitry Medvedev took part in the APEC CEO Summit","2011-11-13","The President of Russia answered questions from summit participants, including about Russia's accession to the WTO, the prospects for economic cooperation with Japan, increasing deliveries of Russian gas to China, and measures to stabilise the situation in the eurozone.","http://eng.kremlin.ru/news/3074"
"1603",1603,"Meeting with President of Indonesia Susilo Bambang Yudhoyono","2011-11-13","Dmitry Medvedev and Susilo Bambang Yudhoyono discussed further development of their countries' bilateral relations.","http://eng.kremlin.ru/news/3073"
"1604",1604,"Meeting with US President Barack Obama","2011-11-13","Talks between Dmitry Medvedev and US President Barack Obama were held on the sidelines of the APEC summit in Honolulu.","http://eng.kremlin.ru/news/3069"
"1605",1605,"Meeting with Japanese Prime Minister Yoshihiko Noda","2011-11-13","During their conversation, Dmitry Medvedev and Yoshihiko Noda paid particular attention to cooperation in the energy sector. The Russian party confirmed its willingness to increase aid to Japan to help the country overcome the consequences of the accident at the Fukushima 1 Nuclear Power Plant.","http://eng.kremlin.ru/news/3072"
"1606",1606,"Meeting with President of Vietnam Truong Tan Sang","2011-11-13","Dmitry Medvedev discussed with President of Vietnam Truong Tan Sang the prospects for bilateral cooperation in nuclear energy, as well as further cooperation in the fields of oil and gas, research and development, education, and culture.","http://eng.kremlin.ru/news/3071"
"1607",1607,"Meeting with Malaysian Prime Minister Najib Razak","2011-11-13","Dmitry Medvedev discussed with Malaysian Prime Minister Najib Razak the prospects for expanding trade and economic cooperation between the two countries.","http://eng.kremlin.ru/news/3070"
"1608",1608,"Meeting with representatives of Asia-Pacific business communities","2011-11-12","On the sidelines of the APEC Summit, Dmitry Medvedev held an informal meeting with representatives of Asia-Pacific business communities. The Russian President told the business leaders about Russia’s anti-crisis policy with an emphasis on modernisation and innovation-driven economic growth, as well as the measures to improve the investment climate.","http://eng.kremlin.ru/news/3068"
